vdd	vair_f	air_adc	AirTemp	therm_resistance	AirDirectADC    AirDirectVolt
3.63	2.01	516	7.89	107992.68	0	0.00
3.63	2.01	516	7.89	107992.68	0	0.00
3.64	2.01	519	7.96	107631.12	0	0.00
3.64	2.01	519	7.96	107631.12	0	0.00
3.64	2.01	519	7.96	107631.12	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.67	2.03	526	7.82	108370.00	0	0.00
3.67	2.03	526	7.82	108370.00	0	0.00
3.67	2.03	526	7.82	108370.00	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.66	2.02	524	7.92	107809.00	0	0.00
3.68	2.04	528	8.19	106353.31	0	0.00
3.70	2.05	533	8.18	106375.37	0	0.00
3.70	2.05	533	8.18	106375.37	0	0.00
3.73	2.07	540	8.58	104200.06	0	0.00
3.73	2.07	540	8.58	104200.06	0	0.00
3.72	2.06	540	8.11	106788.18	0	0.00
3.72	2.06	540	8.11	106788.18	0	0.00
3.73	2.07	540	8.58	104200.06	0	0.00
3.73	2.07	540	8.58	104200.06	0	0.00
3.77	2.09	552	8.11	106766.37	0	0.00
3.81	2.11	559	8.60	104124.00	0	0.00
3.81	2.11	559	8.60	104124.00	0	0.00
3.81	2.11	559	8.60	104124.00	0	0.00
3.81	2.11	559	8.60	104124.00	0	0.00
3.82	2.13	561	9.03	101835.43	0	0.00
3.82	2.13	561	9.03	101835.43	0	0.00
3.88	2.16	577	9.10	101465.43	0	0.00
3.88	2.16	577	9.10	101465.43	0	0.00
3.90	2.17	580	9.29	100475.81	0	0.00
3.90	2.17	580	9.29	100475.81	0	0.00
3.90	2.17	581	9.01	101921.00	0	0.00
3.93	2.20	588	9.67	98582.68	0	0.00
3.93	2.20	588	9.67	98582.68	0	0.00
3.93	2.20	588	9.67	98582.68	0	0.00
3.93	2.20	588	9.67	98582.68	0	0.00
3.93	2.20	588	9.67	98582.68	0	0.00
3.93	2.20	588	9.67	98582.68	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.22	595	9.83	97765.81	0	0.00
3.96	2.22	595	9.83	97765.81	0	0.00
3.96	2.22	595	9.83	97765.81	0	0.00
3.96	2.22	595	9.83	97765.81	0	0.00
3.96	2.22	595	9.83	97765.81	0	0.00
3.96	2.22	595	9.83	97765.81	0	0.00
3.96	2.22	595	9.83	97765.81	0	0.00
3.96	2.22	595	9.83	97765.81	0	0.00
3.96	2.22	595	9.83	97765.81	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	5	0.02
3.96	2.21	593	9.86	97630.75	5	0.02
3.96	2.21	593	9.86	97630.75	45	0.17
3.96	2.50	512	-273.35	-3776.75	285	1.10
3.96	2.50	512	-273.35	-3776.75	285	1.10
3.96	2.58	487	-273.35	-30580.00	301	1.16
3.96	2.58	487	-273.35	-30580.00	301	1.16
3.96	2.58	487	-273.35	-30580.00	301	1.16
3.96	2.58	487	-273.35	-30580.00	301	1.16
3.96	2.58	488	-273.35	-29542.75	300	1.16
3.96	2.58	488	-273.35	-29542.75	298	1.15
3.96	2.58	488	-273.35	-29542.75	298	1.15
3.96	2.41	537	38.60	24974.25	269	1.04
3.96	2.41	537	38.60	24974.25	269	1.04
3.96	2.21	593	9.86	97630.75	98	0.38
3.96	2.21	593	9.86	97630.75	4	0.02
3.96	2.21	593	9.86	97630.75	4	0.02
3.96	2.22	592	10.14	96220.56	60	0.23
3.96	2.22	592	10.14	96220.56	60	0.23
3.96	2.21	593	9.86	97630.75	60	0.23
3.96	2.21	593	9.86	97630.75	60	0.23
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.22	592	10.14	96220.56	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.22	592	10.14	96220.56	21	0.08
3.96	2.22	592	10.14	96220.56	21	0.08
3.96	2.21	593	9.86	97630.75	67	0.26
3.96	2.21	593	9.86	97630.75	67	0.26
3.96	2.21	593	9.86	97630.75	68	0.26
3.96	2.21	593	9.86	97630.75	68	0.26
3.96	2.21	593	9.86	97630.75	66	0.26
3.96	2.21	593	9.86	97630.75	66	0.26
3.96	2.22	592	10.14	96220.56	23	0.09
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.22	592	10.14	96220.56	0	0.00
3.96	2.22	592	10.14	96220.56	0	0.00
3.96	2.22	592	10.14	96220.56	0	0.00
3.96	2.22	592	10.14	96220.56	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.21	593	9.86	97630.75	0	0.00
3.96	2.22	592	10.14	96220.56	0	0.00
3.96	2.22	592	10.14	96220.56	0	0.00
3.96	2.21	593	9.86	97630.75	2	0.01
3.96	2.22	592	10.14	96220.56	61	0.24
3.96	2.22	592	10.14	96220.56	61	0.24
3.96	2.22	592	10.14	96220.56	83	0.32
3.96	2.22	592	10.14	96220.56	83	0.32
3.96	2.22	592	10.14	96220.56	83	0.32
3.96	2.22	592	10.14	96220.56	83	0.32
3.96	2.22	592	10.14	96220.56	82	0.32
3.96	2.22	592	10.14	96220.56	82	0.32
3.96	2.22	592	10.14	96220.56	82	0.32
3.96	2.22	592	10.14	96220.56	85	0.33
3.96	2.22	592	10.14	96220.56	85	0.33
3.96	2.21	593	9.86	97630.75	79	0.31
3.96	2.21	593	9.86	97630.75	79	0.31
3.96	2.22	592	10.14	96220.56	85	0.33
3.96	2.22	592	10.14	96220.56	85	0.33
3.96	2.22	592	10.14	96220.56	81	0.31
3.96	2.22	592	10.14	96220.56	81	0.31
3.96	2.21	593	9.86	97630.75	84	0.32
3.96	2.22	592	10.14	96220.56	83	0.32
3.96	2.22	592	10.14	96220.56	83	0.32
3.96	2.22	592	10.14	96220.56	83	0.32
3.96	2.22	592	10.14	96220.56	83	0.32
3.96	2.22	592	10.14	96220.56	84	0.32
3.96	2.22	592	10.14	96220.56	84	0.32
3.96	2.22	592	10.14	96220.56	82	0.32
3.96	2.22	592	10.14	96220.56	82	0.32
3.96	2.22	592	10.14	96220.56	84	0.32
3.96	2.22	592	10.14	96220.56	86	0.33
3.96	2.22	592	10.14	96220.56	86	0.33
3.96	2.21	593	9.86	97630.75	82	0.32
3.96	2.21	593	9.86	97630.75	82	0.32
3.96	2.22	592	10.14	96220.56	78	0.30
3.96	2.22	592	10.14	96220.56	78	0.30
3.96	2.22	592	10.14	96220.56	83	0.32
3.96	2.22	592	10.14	96220.56	83	0.32
3.96	2.22	592	10.14	96220.56	84	0.32
3.96	2.22	592	10.14	96220.56	83	0.32
3.96	2.22	592	10.14	96220.56	83	0.32
3.96	2.21	593	9.86	97630.75	80	0.31
3.96	2.21	593	9.86	97630.75	80	0.31
3.96	2.22	592	10.14	96220.56	84	0.32
3.96	2.22	592	10.14	96220.56	84	0.32
3.96	2.22	592	10.14	96220.56	77	0.30
3.96	2.22	592	10.14	96220.56	77	0.30
3.96	2.21	593	9.86	97630.75	83	0.32
3.96	2.22	592	10.14	96220.56	78	0.30
3.96	2.22	592	10.14	96220.56	78	0.30
3.96	2.22	595	9.83	97765.81	80	0.31
3.96	2.22	595	9.83	97765.81	80	0.31
3.96	2.22	595	9.83	97765.81	83	0.32
3.96	2.22	595	9.83	97765.81	83	0.32
3.99	2.24	601	10.31	95407.18	81	0.32
3.99	2.24	601	10.31	95407.18	81	0.32
4.00	2.24	603	10.29	95494.00	79	0.31
4.03	2.26	610	10.52	94357.31	83	0.33
4.03	2.26	610	10.52	94357.31	83	0.33
4.04	2.27	612	10.52	94393.68	81	0.32
4.04	2.27	612	10.52	94393.68	81	0.32
4.06	2.29	616	11.08	91716.87	82	0.33
4.06	2.29	616	11.08	91716.87	82	0.33
4.07	2.29	618	11.08	91716.00	79	0.31
4.07	2.29	618	11.08	91716.00	79	0.31
4.07	2.29	618	11.08	91716.00	84	0.33
4.10	2.31	622	11.68	88966.43	83	0.33
4.10	2.31	622	11.68	88966.43	83	0.33
4.11	2.32	626	11.70	88881.25	83	0.33
